"report_date","state","value","truthvalue","truthdate","season"
2022-01-29,"US",967,NA,NA,"A) 2021-2022"
2022-02-05,"US",1159,NA,NA,"A) 2021-2022"
2022-02-12,"US",1239,NA,NA,"A) 2021-2022"
2022-02-19,"US",1594,NA,NA,"A) 2021-2022"
2022-02-26,"US",1682,1666,2022-09-12,"A) 2021-2022"
2022-03-05,"US",1965,1943,2022-09-12,"A) 2021-2022"
2022-03-12,"US",2286,2247,2022-09-12,"A) 2021-2022"
2022-03-19,"US",2890,2879,2022-09-12,"A) 2021-2022"
2022-03-26,"US",3085,3010,2022-09-12,"A) 2021-2022"
2022-04-02,"US",3164,3183,2022-09-12,"A) 2021-2022"
2022-04-09,"US",3330,3333,2022-09-12,"A) 2021-2022"
2022-04-16,"US",3470,3417,2022-09-12,"A) 2021-2022"
2022-04-23,"US",3630,3646,2022-09-12,"A) 2021-2022"
2022-04-30,"US",3361,3252,2022-09-12,"A) 2021-2022"
2022-05-07,"US",3383,3226,2022-09-12,"A) 2021-2022"
2022-05-14,"US",3334,3300,2022-09-12,"A) 2021-2022"
2022-05-21,"US",3275,3172,2022-09-12,"A) 2021-2022"
2022-05-28,"US",2910,2800,2022-09-12,"A) 2021-2022"
2022-06-04,"US",2823,2758,2022-09-12,"A) 2021-2022"
2022-06-11,"US",2336,2225,2022-09-12,"A) 2021-2022"
2022-06-18,"US",1903,1865,2022-09-12,"A) 2021-2022"
2022-06-25,"US",1480,1434,2022-09-12,"A) 2021-2022"
2022-07-02,"US",1185,1133,2022-09-12,"A) 2021-2022"
2022-07-09,"US",907,875,2022-09-12,"A) 2021-2022"
2022-07-16,"US",859,841,2022-09-12,"A) 2021-2022"
2022-10-15,"US",1744,NA,NA,"B) 2022-2023"
2022-10-22,"US",2369,2380,2023-05-20,"B) 2022-2023"
2022-10-29,"US",4462,4353,2023-05-20,"B) 2022-2023"
2022-11-05,"US",6495,6571,2023-05-20,"B) 2022-2023"
2022-11-12,"US",8761,8848,2023-05-20,"B) 2022-2023"
2022-11-19,"US",11319,11427,2023-05-20,"B) 2022-2023"
2022-11-26,"US",18626,19846,2023-05-20,"B) 2022-2023"
2022-12-03,"US",26722,26333,2023-05-20,"B) 2022-2023"
2022-12-10,"US",23951,23851,2023-05-20,"B) 2022-2023"
2022-12-17,"US",21323,21421,2023-05-20,"B) 2022-2023"
2022-12-24,"US",19374,19288,2023-05-20,"B) 2022-2023"
2022-12-31,"US",19707,19369,2023-05-20,"B) 2022-2023"
2023-01-07,"US",13148,12929,2023-05-20,"B) 2022-2023"
2023-01-14,"US",6432,6686,2023-05-20,"B) 2022-2023"
2023-01-21,"US",4083,4182,2023-05-20,"B) 2022-2023"
2023-01-28,"US",2680,2837,2023-05-20,"B) 2022-2023"
2023-02-04,"US",2254,2320,2023-05-20,"B) 2022-2023"
2023-02-11,"US",2028,2152,2023-05-20,"B) 2022-2023"
2023-02-18,"US",1815,1843,2023-05-20,"B) 2022-2023"
2023-02-25,"US",1595,1659,2023-05-20,"B) 2022-2023"
2023-03-04,"US",1462,1456,2023-05-20,"B) 2022-2023"
2023-03-11,"US",1370,1398,2023-05-20,"B) 2022-2023"
2023-03-18,"US",1413,1397,2023-05-20,"B) 2022-2023"
2023-03-25,"US",1259,1315,2023-05-20,"B) 2022-2023"
2023-04-01,"US",1256,1274,2023-05-20,"B) 2022-2023"
2023-04-08,"US",1230,1211,2023-05-20,"B) 2022-2023"
2023-04-15,"US",1113,1083,2023-05-20,"B) 2022-2023"
2023-04-22,"US",1033,1013,2023-05-20,"B) 2022-2023"
2023-04-29,"US",926,947,2023-05-20,"B) 2022-2023"
2023-05-06,"US",945,944,2023-05-20,"B) 2022-2023"
2023-05-13,"US",991,990,2023-05-20,"B) 2022-2023"
2023-05-20,"US",970,956,2023-05-20,"B) 2022-2023"
2023-05-27,"US",1004,970,2023-05-20,"B) 2022-2023"
2023-06-03,"US",956,987,2023-05-20,"B) 2022-2023"
2023-06-10,"US",996,917,2023-05-20,"B) 2022-2023"
